,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3225,3225,1.0,0.0,Jabe Mullins,Saint Mary's,WCC,19,32.0,79.3,39.89,8.1,19.8,0.7,0.833,-0.502866,76.2869
3226,3226,1.0,0.0,Steven Crowl,Wisconsin,B10,12,3.1,93.2,50.0,10.0,27.8,2.8,0.0,0.0812053,92.4564
3227,3227,0.996,0.004,Mitchell Saxen,Saint Mary's,WCC,24,24.4,96.3,55.87,4.7,24.4,5.6,0.308,0.402929,97.1653
3228,3228,1.0,0.0,K.J. McClurg,New Hampshire,AE,14,21.7,86.3,45.05,3.9,17.3,0.0,0.852,0.041259,86.3255
3229,3229,0.998,0.002,Chris Childs,Bryant,NEC,20,66.7,108.3,58.35,7.8,16.5,0.0,0.867,1.98522,105.688
3230,3230,0.978,0.022,Leemet Bockler,Saint Mary's,WCC,8,9.2,105.2,62.1,2.7,20.2,2.3,1.0,0.980629,110.947
3231,3231,1.0,0.0,Thomas Howell,Louisiana Monroe,SB,26,43.5,106.0,56.1,4.6,16.3,3.0,0.677,0.693208,96.7262
3232,3232,0.994,0.006,Mikey Howell,Bradley,MVC,13,73.6,95.6,48.66,35.2,27.7,0.5,0.583,1.14637,95.679
3233,3233,1.0,0.0,Jace Roquemore,UC San Diego,BW,14,56.3,78.1,46.51,17.0,30.5,0.9,0.5,-0.75219,75.6273
3234,3234,1.0,0.0,Justin Pratt,UC San Diego,BW,3,1.6,29.9,0.0,17.4,48.0,0.0,0.0,-0.603529,27.2799
3235,3235,0.97,0.03,Toni Rocak,UC San Diego,BW,14,50.3,97.4,55.35,13.0,16.8,2.5,0.621,2.42678,120.039
3236,3236,1.0,0.0,Kaden Rasheed,UC San Diego,BW,12,24.2,104.9,64.45,5.2,18.5,0.7,0.8,0.318485,93.3789
3237,3237,1.0,0.0,Javion May,Sam Houston St.,Slnd,24,50.6,91.3,41.87,13.9,25.3,0.4,0.489,-0.287503,81.1642
3238,3238,1.0,0.0,Donavan Yap,Fresno St.,MWC,3,0.8,59.6,20.0,24.9,0.0,0.0,0.0,-0.187149,65.0308
3239,3239,1.0,0.0,Triston Broughton,San Diego St.,MWC,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.213351,-6.97091
3240,3240,1.0,0.0,Che Evans,San Diego St.,MWC,9,3.3,64.3,30.1,10.0,20.5,0.0,0.5,-0.265256,66.1451
3241,3241,1.0,0.0,Tyler Broughton,San Diego St.,MWC,3,0.2,60.9,0.0,78.4,0.0,0.0,0.0,-0.0549598,61.4979
3242,3242,0.998,0.002,Eoin Nelson,Wyoming,MWC,8,7.9,101.8,57.21,0.0,22.7,0.0,0.5,0.316984,94.5335
